text,predicted_label
Is the deltaH = q approx = deltaU only at constant Temperature?,1
Hello first thanks about you're explain but I ask if scientists predictions methods can they reach to determination of finding exact speed and position? ,1
"Sir, is this correct?

The measurements (in S.I. units)of minima of uncertainties position and momentum of a particle of mass 1 nanogram is that their ratio is 1:4. Then what is the minimum uncertainties in the measurement of its kinetic energy?
Suppose the uncertainty in position be x, then uncertainty in momentum =4x
Then 4x2 = h/4π = 5.3 x 10-35
So x = 3.64 X10-18
So uncertainty in momentum= 4x =  4(3.64 X10-18 )= 14.56 X10-18
Then uncertainty in speed = (uncertainty in momentum )/mass
= (14.56 X 〖10〗^(-18))/(1X 〖10〗^(-12) ) = 14.56 X 10-6
Uncertainty in kinetic energy = 1/2 m(∆V)2 
= 0.5X 10-12 X (14.56 x 10-6)2 = 1.06 X 10-21J",1
aren't there any instruments to see ?,1
what abiut h/4,1
aren't there any instruments to see ?,1
Her own face is copyrighted? that doesn't seem right..,1
can you upload a new one with working visual guides?,1
Why are the slides censored??,1
Why are these two professors beautiful. Such combinations are not common.,1
is that a good idea to use it to review IGCSE? or maybe i can tell after the IGCSE chemistry 2022,1
Where can I get mit graduate or bsc course lectures?,1
can someone give me the link of the lecture talking about history of alchmy and modern chemistry for p-Sofia plz???,1
"Hey, Como te fue, lo lograste?",1
She is wearing a skirt that has a fractal pattern. Interesting choice of clothes. Sort of subdued at least in colors. Would like someone like to comment on the pattern of the skirt,1
Shinrah123 what an interesting way to start class,1
Can  you  explain  why  do  we  get  a curve graph in  the  first  one and why not  a linear  graph?,1
"Sir,why is the graoh of v vs 1/p a straight line through origin?volume cant be zero",1
You usually do not sat it’s inversely proportional to 1/p.cos that’s means it’s directly proportional to p. You either say it’s inver proportional to p or it’s proportional to 1/p,1
"Good day... Pls how do you calculate the oxidation number in compound 
How was (lII) gotten as the oxidation number of chromium....",1
Thanks for the French lesson Chad :) So what subject will you be teaching next?,1
I haven't 100% decided. But I need to update the biochem curriculum/videos.  Physics too.  But I'd also really like to create a biology series :)  So many options.  Feedback?,1
thanks x can you do flux determinants and metabolic pathways?,1
Why halogens in compounds can have only one negative oxidation degree -1?,1
radioactive? you must mean reactive,1
"Can you please give the link of the video where you have explained di substituted, tri substituted alkenes ?",1
Hi Chad. Is there any way we can donate through patreon or something? You've helped me so much :),1
Did you get a new camera? This video looks real sharp brotha. Thank you for doing what you do man,1
