text,predicted_label
these teenagers are 40 now. crazy how time flies,1
Did you get into MIT?,1
   krl vc vem do futuro?,1
"   HAHAHAHA nao, só quer dizer que eu me formo em 2024. tipo, essa turma ai dessa aula entrou em 2007 então eles são class of 2010",1
How was your experience with 18.02?,1
"Did anyone add 2024 just got done? Beautifully explained concepts with such practical examples! Couldn't thanks MIT OCW along with Prof Jerison and Prof Muller enough.
India, 2024.",1
wouldnt it be called maclaurin series if the taylor series is centered at 0?,1
 Do you have any idea how many grammatical errors there are in that one paragraph?,1
"Now that I have completed this course, am I considered to have taken calculus 1&2 or just calculus 1?
I wanna know what the next step for me IS.",1
"Completed the course, thanks MIT OCW & prof. David Jerison.  I couldn’t find any bibliography listed in their webpage. What book is recommended for this course?",1
i'm following 18.01SC course and there is no mention of error functions. Where is this explained?,1
Glad to have finished this topic. Can someone provide me the link of next topic which I should cover.,1
Why don't they just use the ratio test to find the radius of convergence?,1
Hi how many total lectures are their in 18.01 and how many are skipped over because of exams mitocw?,1
why the heck does he looks like shakes pear!?,1
Thx for that video. How you see the patterns for series?,1
"hii, i would like to ask if i can find the sigma notation ‘E’ with using only the series, if that makes sense. for example. (2,4,6,8,10) i have to find the ‘E’ of this series. is there a formula to find a sigma notation with using only the series?",1
Would you mind adding this to the calculus playlist??? I was wondering why I hadn't watched this before!,1
How do we determine the lower limit?,1
when i have the sigam notation i always use i in stead of n is this a problem ?,1
One question. What does i=1(for example) under sigma means???,1
"Your explanation of e was really cool! Can you make a really in-depth video about e? I feel like it's everywhere, but still kind of mystifying. The same with ln.",1
Professor Dave for the first comprehension question can the answer be :: an-1 +3?,1
Might I mention how truthfully based it is that Dave teaches sequences so early? I didn't these things in college and they feel largely out of place in their conceptual simply being introduced after limits...,1
Could you do some multivariable calculus?,1
Thanks for the video. I'm a little confused at 2:20 . How does 2 * 3  to the N power - 1 give us 18 or 54?. Is N the term number?,1
What is the capitalised pi notation? I heard it’s used for summation as well,1
"6:09 How do you know what a1, a2, ... is equal to if it wasn't specified?",1
"Professor Dave Explains Thanks,professor!!!!! Are you going to make a tutorial about capital pi???",1
Straight away I’m lost. What is a sub n?,1
"Can e be expressed like this?
∞
Σ (1/n!)
n=1",1
whats the point of me going to school if i can learn this easier by watching a 5 minute youtube video,1
......isnt the x coefficient in standard form supposed to be positive not negative ???????????????,1
Ok this has me messed up at the end. Someone please help. 2nd comprehension I got -6x+3y=21 which I simplified to -2x+y=7 because everything is divisible by 3. It looks like you forgot to divide on the y term because it still says 3y? Shouldnt that just be y?,1
Did you make it 🌚,1
   How'd you do,1
"Hey guys,
Does anyone know the reason why the coefficients have to be in integer multiples?
I tried them as fractions, put in values for x and y, and got the same value for the other variable.
Also,
Why does the coefficient of the x value have to be positive, according to google?",1
What ?? Can A be a negative in standard form Ax+By=C,1
