text,predicted_label
"how could a video like this get a down vote? thanks for everything you do, your videos are great!",1
"13:41 A standing wave has 5 loops. How many nodes and antinodes are present? 
14:46 The fundamental frequency of a certain standing wave is 175 Hz. Calculate the first 4 harmonics.
16:12 The 7th Harmonic of a standing wave is 280 Hz. What is the frequency of the 4th and 9th Harmonic?
17:35 A 2 meter string produces a standing wave with 3 loops. 
           a) What is the standing wavelength?
18:56 b) What is the frequency if the speed of the wave is 45 m/s?
20:00 c) What is the wavelength and speed of the first harmonic?
22:37 The wavelength of a standing wave with one loop is 12 meters. Find the wavelength of the first five harmonics.
23:38 The wavelength of 5th harmonic is 1.8 meters. Calculate the wavelength of the 9th harmonic.
24:56 A standing wave with a speed of 30 m/s and five loops has a frequency of 250 Hz. 
           a) What is the length of the string in centimeters
27:19 b) If the string has a mass of 40 g, what tension force is required to produce such a wave?
29:56 A tension force of 300N was applied to a 0.75kg string that is 5 meters long. A standing wave with 5 loops was produced.
          Calculate the:
           a) speed
31:44 b) wavelength
32:58 c) frequency 
           d) fundamental frequency
                and the first three overtones
36:38 The frequency of the 4th harmonic is 300 Hz and the wavelength of the 2nd harmonic is 2.3 meters. What is the speed of the wave?",1
Did u pay💀,1
Thank you so much bro!! Was so helpful,1
"The back one are not  not working.  
So wht can I do 
???",1
I BET UR CROWNED AS THE BEST SCIENCE TUTOR. HOW LUCKY IT IS TO BE TAUGHT BY A LECTURE LIKE U DURING PHYSICAL CLASSES,1
"25:33 If I use fn = (vn)/(2L), I've got different answer. Could anyone please tell me why?",1
20:00 How did you get f3?,1
Hey I wrote 4/3 as a whole decimal number so I got 67.5 do you think I would still get it right in the exam?,1
"Hi,  the questions stated that standing wave only has one loop. How can you have multiples wavelength with just one loop? I thought one loop= 1 wavelength.",1
may God bless you with goodluck and fortune. Ameen,1
How about a series on transmission line theory?,1
I have the following problem could you please help me to solve it?  3.	A spring and mass system with a mass of 2.5 kg is observed to have a frequency of 5.5 Hz.  What is the stiffness constant of the spring?,1
Can someone explain why there are different types of standing waves created whenever you pluck a string?,1
"28:16 Why multiply the right side only with L? Why not multiply the before = and after = because that would make sense to me. I’m confused.

Edit: and why multiply by L in the first place?",1
18:40 how did you know that the wavelength is the third harmonic?,1
Question; Nods represent the displacement to an anti nod... In space as a energy is transimited or Non tansit. Can we infer that the Nodes is the missing dark matter & energy we have been seeking...?,1
How do you solve for length if you are only given the fundamental frequency of 196 Hz,1
"what if the nodes are on a vibrating loop, then the nodes would = antinodes right?",1
"how does a 2 meter string produces a 4 meter wave lenght, its that possible?",1
can someone tell me in 21:05 lambda(n) = lambda(1)/n but in the next line its lambda(1) = nlambda(n)? parenthesis represent subscripts,1
How do we get paid off of the energy that they seap from the land on our property? Or where where renting or Staying or  renting or living,1
"So if anyone is here still can someone tell me how to fine wavelength or wave speed without each other ? Like I was given frequency, period and what harmonic it was but I have to calculate wave speed and wavelength how do I do that ?",1
"12:50 You claimed that antinodes are counted at maximum displacements and minimum displacements.

14:34 You didn’t count the minimum displacements but just counted the maximum ones. Was this a mistake or am I missing something?",1
Does this all work for calculus based physics?,1
What about sitting waves?,1
"20,000 views, 164,000 subs, and only 6 comments? Something seems off",1
"Why is the third overtone, 4th harmonic?",1
"Hey there! Useful video but I'm struggling to answer this question : A tuning fork makes 5 beats per second with a stretched string of length 1,12m. It also give 5 beats per second when sounded with a length of 1.16m of the same string under the same tension. What is the frequency of the tuning fork ?",1
How do we get paid for the energy today,1
im confused what exactly is the overtone?,1
   I’m 3 years late but isn’t L = 12m? From where did you get the 2?,1
"Great video.
Question:
1  i have the following parameters:
- RPM
- Speed
- wheel Radius

From this parameter can i calculate the power ?",1
"Hi, I am busy with a personal projects.
I am busy with special gearing which allows me to use a driver gear which is 50mm in diamater that drives the follower gear which is 100mm in diameter. I have them running the same rpm. Now I just want to know if there will still be more torque on the follower gear (100mm) than there would be on the driver gear (50mm). Remember that all my tests the system is the same rpm. Does the follwer gear consume less energy as the rpm is not 2:1 as it should be for a equal system?",1
"Question, on the example at 3:30...if you increase the torque by increasing the meters in this example, your work increases. How would one go about describing where that extra work comes from. You have the same force and same angle, but a greater arc length. Is that where the extra work comes from? Same force applied over more distance?",1
"In 3:27, the final answer should be 12,566.37 right?",1
Have you explained about pyridine part ?,1
"The flat belt has a speeed of 22m.s and is lifted tow pulley with a diameter of 380mm ..if the effective pull is 210N

Calculate power transmitted by the belt",1
What is the empirical formula of Strontium Phosphide with a mass of 80.9g of Strontium and 19.1g of phosphide ??,1
"I'm currently searching for the answer, did you manage to find it??",1
DO YOU LIKE THIS POSITION? 🤪🥶🥵🙈,1
Why is everyone coming here from Tiktok. I just came here to learn chemistry,1
20:53 man what did nitrogen do to you,1
do u have his social media or anything=))),1
Whhhhhhhereeee iiiiiissssss ddddddaaadddddyy?,1
   what are you doing,1
"Only his lectures? If you don't mind what exactly was your road map, schedule, stragies for before your chem exam? Thanks",1
are you giving jee,1
Why do I find this so funny 😂😂,1
"this kid sounds so freaking young, how tf is this man so smart and teaches better than every teacher I have ever had?",1
Excellent lectures. Where were you when was battling to learn Chemistry and Physics during my college days? Now you made everything so easy for me. Thank you very much. God bless you.,1
Are you serious you used to hate chemistry 😂😂😂😂,1
Could you please make a video of intro to physics? Also could you please make videos for AP Environmental Science?,1
Two  parallel  plates  have  a  potential  difference  of  80  V.  (a)  A  proton  is  shot  from  the negative  plate  towards  the  positive  plate  with  an  initial  energy  of  100  eV.  What  is  the kinetic  energy  of  the  proton  just  before  it  strikes  the  positive  plate?  (b)  Repeat  if  the proton is shot  from the positive plate towards the  negative  plate.,1
"If we bought the YouTube membership, do we have access to those Patreon videos? I don't see the ""members only"" second-half of this video listed in the chemistry playlist.",1
"Hi I don't know if you will read this but I am trying to teach myself chemistry and I'm going to college soon (to actually enter a lab). I have been reading a ton of books and looking at everything I can online to prepare myself, but sometimes I get lost on what part I should be focusing on. Do you think you could please make a video that shows all the major components/topics of chemistry and what order would be best to study them? Its kinda weird learning it without a solid curriculum...",1
"Thank you so much 

Is there anyone reading this ?",1
"How do you know the ionic charges of these elements? Is it a given that we need to memorize from the periodic table of elements? Like in your example in 36:59 where the example is Aluminum Sulfate, how do you the 3+? Are ionic numbers a given already and we just need to memorize it?",1
 is the playlist what you should learn in order?,1
How can I memorize the oxidation numbers of elements in the periodic table?,1
Which software are you using for this board and the meeting/video?,1
What app do u use for that,1
Pleasee someone tell me what app this man using 🙏🙏,1
is the part two available  on youtube?,1
" Organic Chemistry Tutor
Hi teacher👋.
What's the different between the New Organic Chemistry Playlist & Organic Chemistry list ?",1
Is there any relation between bond dissociation energy and polarity?,1
"Hello, does anyone maybe have a list of all the videos that cover gen chem 1 that is in order? If you also have a list for gen chem 2 that'd be dope too. Thank you so much.",1
can you do the Fourier series,1
I have a question which branch of chemistry should I study first?,1
Please which app can you teach with?,1
Do one video for me about shear force and bending moument diagram,1
which software is he using to create these videos?,1
Instead of writing iron (II) and iron (III)can we write ferrous and ferric respectively?,1
what website/app do u use?,1
Is it better if i learn this earlier,1
Does anyone knows the book I need to study if planning to go into a nursing program? Like LPN-RN,1
can any one tell is it use for jee,1
Am I the only one who just subscribed because he sounds like denki kaminari?,1
when did learning become so frustrating for no reason,1
"is all the elements in grp 3A is +3?
Like B is also 3+
Or it just Al,Ga,In?",1
"hello, do u give lessons as a tutor if someone needs help?",1
Can anyone tell me what is positive and negative charge?  🙂🙂,1
Could you possibly do the math to define the curve of the pseudo adiabatic process on a skew-t? :) For dry and saturated,1
what about Fr in group 1?,1
21:53 what's PBR3,1
What is your name?,1
"DO YOU LIKE THIS POSITION 🤪
DO YOU LIKE THIS POSITION 🤪",1
can someone tell me wtf is going on lmaooaoo,1
"24:19

**Why was this not DiFlouride?**",1
Mistah White teaching chemistry online now??,1
"What is E=MC2 is consistent with TIME AND what is gravity. (TIME is thoroughly consistent with what is gravity ON/IN BALANCE.) WHAT IS E=MC2 is dimensionally consistent. TIME is NECESSARILY possible/potential AND actual ON/IN BALANCE, AS ELECTROMAGNETISM/energy is CLEARLY AND NECESSARILY proven to be gravity (ON/IN BALANCE) !!! WHAT IS E=MC2 is taken directly from F=ma.

Consider what is the man (AND THE EYE ON BALANCE) who IS standing on what is THE EARTH/ground. Touch AND feeling BLEND, AS ELECTROMAGNETISM/energy is CLEARLY AND NECESSARILY proven to be gravity (ON/IN BALANCE). CLEAR water comes from what is THE EYE. INDEED, consider what is (essentially and necessarily) BALANCED BODILY/VISUAL EXPERIENCE !!! Lava IS orange, AND it is even blood red. The hottest flame is blue. The hottest lava is yellow. LOOK upwards, ON BALANCE, at what is the TRANSLUCENT AND BLUE sky !! The orange (AND setting) Sun IS the SAME SIZE as what is THE EYE !! NOW, consider what is the fully illuminated (AND setting/WHITE) MOON ON BALANCE. (BALANCE AND completeness go hand in hand.) WHAT IS E=MC2 is taken directly from F=ma, AS TIME is NECESSARILY possible/potential AND actual ON/IN BALANCE; AS ELECTROMAGNETISM/energy is CLEARLY AND NECESSARILY proven to be gravity (ON/IN BALANCE); AS the rotation of WHAT IS THE MOON matches the revolution.

WHAT IS E=MC2 is taken directly from F=ma. Gravity AND ELECTROMAGNETISM/energy are linked AND BALANCED opposites ON BALANCE, as the stars AND PLANETS are POINTS in the night sky. Consider TIME AND time dilation ON BALANCE. c squared CLEARLY represents a dimension of SPACE ON BALANCE. WHAT IS GRAVITY is, ON BALANCE, an INTERACTION that cannot be shielded or blocked (ON BALANCE) !!! E=MC2 is consistent with/AS WHAT IS GRAVITY, AS TIME is NECESSARILY possible/potential AND actual ON/IN BALANCE; AS ELECTROMAGNETISM/energy is CLEARLY AND NECESSARILY proven to be gravity (ON/IN BALANCE); AS the rotation of WHAT IS THE MOON matches the revolution. Magnificent. Notice that the curvature or shape of said Moon matches that of what is THE EARTH/ground (that is, given what is a CLEAR horizon, of course.) The diameter of WHAT IS THE MOON IS about ONE QUARTER that of WHAT IS THE EARTH/ground ON BALANCE. Excellent !!! It ALL CLEARLY makes perfect sense ON BALANCE. Consistent WITH WHAT IS TIME, WHAT IS E=MC2 IS GRAVITY ON BALANCE. Finally, the average ocean tide is about 6 feet; AND said Sun manifests or forms at what is EYE LEVEL/BODY HEIGHT. The tidal range on the open ocean is about 3 feet. Notice, what is THE EARTH is ALSO BLUE ON BALANCE. Outstanding. Again, ON BALANCE, consider what is the fully illuminated (AND setting/WHITE) MOON ON BALANCE. The BULK DENSITY of WHAT IS THE MOON is comparable to that of (volcanic) basaltic lavas on THE EARTH/ground. The surface of WHAT IS THE MOON is chiefly composed of pumice. Excellent. ELECTROMAGNETISM/energy is CLEARLY AND NECESSARILY proven to be gravity (ON/IN BALANCE), AS the rotation of WHAT IS THE MOON matches the revolution; AS TIME is NECESSARILY possible/potential AND actual ON/IN BALANCE; AS WHAT IS E=MC2 is taken directly from F=ma.

By Frank Martin DiMeglio",1
Last 22:54 what's potassium I just know a potassium gun from arsenal hgahahahahahahahaahgahahahaha,1
Can you add translation please,1
what is the chemistry & science in alligators on how they are able to grow infinite teeth after loosing one ?,1
What app is that,1
What are you working tomorrow?,1
22:54 bro how did io die?,1
HASGAHAH DO U LIKE THKS POSITION,1
  . Dạ em chào thầy ạ. Thầy đang làm gì vậy….hôm nay thầy bận việc hay sao ạ,1
"Hạnh, vừa về nhà. Hôm nay em hát nhiều Chắc hơi mệt Phải kg? Hôm nay em hát bài Tình lở hay Mà dễ thương quá đi.......",1
"Hạnh, em khỏe kg, đang làm gì?",1
HELLO CAN I ASK YOU SOMETHING IN PRIVATE,1
Do you like this position? AHAHAHAHDKFND,1
"damn, do you like this position?",1
Leo ? Zodiac ?,1
What's going on why is everyone saying this LMAOOO,1
   dạ có thịt luộc với dưa giá nữa ạ..củ kiệu ngâm giấm đường chua chua ngọt ngọt ăn ngon lắm… củ kiệu khó làm lắm.làm thì cực..làm kg khéo thì kiệu kg giòn.bị mềm là ăn kg ngon ạ,1
   dạ em chào thầy ạ. Dạ em đang may.sáng giờ em đi vắt sổ ạ,1
   dạ gà ram nước mắm .gà ướp 15phút.rồi đem chiên vàng.pha nước mắm thêm chút đường.chút nước.Cho sôi lên rồi đổ gà đã chiên vàng vào.Cho đến khi nào nước mắm kẹo lại là xong ạ,1
   dạ em chào thầy ạ. Dạ em đang may ạ,1
Do you like this position? 🤪,1
Do you like this position???🥵🥵🥵,1
What you know high school what🤨🤔,1
"Your handwriting is hard to read.
Why don't you use powerpoint and you just write some comments.
That would be easier for students to learn.",1
Why ijust started this vidio is it worth watching?,1
copying? bro he's just teaching students chemistry. how is that copying? Can khan academy be the only one who can provide educational videos in this platform?,1
Can’t be that easy…,1
3 years the video got realease 8 months ago??,1
What were you studying ?,1
"what do you mean return? he  never left, did he?",1
How'd you do?,1
"Hey org. Chemistry. I was one of your fun. I usually watching your videos whenever I don't understand my chemistry and physics module I hope you can help me at this problem in  physics 🥺🥺

Problem: Smokestack scrubber removes undesirable particles by first adding some excess electrons and then using electric forces to pull the particles out of the air. Consider a soot particle of mass 𝑚𝑠𝑜𝑜𝑡 = 1.0 𝑥 10−12 𝑘𝑔 that travels upward in a smokestack and a charge of 𝑞𝑠𝑜𝑜𝑡 = 1.1 𝑥 10−17𝐶. Assume the electric field in the scrubber is produced by two parallel, square plates of width 𝐿 = 1.0 𝑚 and separation 𝑑 = 0.010 𝑚, with charges ±𝑄.   What must be the value of the electric field between the plates so that the force on the soot particle is equal to the weight of the particle? (A real scrubber would use a collection of many pairs of such plates in parallel)  What charge Q on the scrubber’s plates is required to produce the electric field in part (a)?

Recognize the Principle (How will you find the magnitude of E) (5 points) 
 
 
 
 
 
 
Sketch the Problem (5 points) 
 
 
 
 
 
 
 
 
Identify the Relationships in part (a) (5 points) –“The formula” 
 
 
 
 
 
 
Solution for part (a) (5 points) 
 
 
 
 
 
 
 
 
 
 
Identify the Relationships in part (b) (5 points) –“The formula” 
 
 
 
 
 
 
 
Solution for part (b) (5 points) 
 
 
 
 
 
 
 
 
 
 
 
 
Conclusion: (5 points) 
 
 
 
Hoping you will respond or make some videos about it. Many people having a hard time solving it🥺

Thank you in advance! Love from Philippines 💐",1
Will you be doing videos on Physics 2 material? Or differential equations?,1
Well explained...can you do a video about rawl's law,1
What application to draw is it? Btw very nice video,1
On the example at 7:13 why don’t you use the Displacement = Xf - Xi formula ? Isn’t that what u need to do to find displacement always?,1
"Is the velocity for north positive and south negative? What about NE, SE, etc?",1
im just going to ask why did u use law of attraction or smth in the displacement,1
does this playlist for AS Level Physics (9702) covers all the requirements of the syllabus set up by cambridge examinations??,1
whats the difference between the net displacement and the delta x which is the change in position?  Are they the same?,1
what app are you using?,1
Does anyone know where I can find practice questions?,1
When should i use final - initial and when shall i not,1
Omg I have the same problem did u find the answer?,1
